st_gender,st_spg,st_mmog,st_age,st_immig,st_belong,st_repeat,pa_books,pa_educ,pa_escs,W_FSTUWT,math_score,scie_score,read_score,good_math,good_scie,good_read,bad_math,bad_scie,bad_read
Male,Every day,Almost every day,15.75,Native,.6051,0,201-500 books,18,.3905,145.2927,678.91632,733.50909,708.95801,1,1,1,0,0,0
Female,Once or twice a week,Never or hardly ever,15.75,Second-Generation,-.5753,0,101-200 books,15,.8668,140.4505,570.7926,585.23822,614.9549,0,0,1,0,0,0
Female,Once or twice a month,Never or hardly ever,15.58,Native,.3171,0,201-500 books,18,1.2289,140.4505,552.14429,565.56097,575.73669,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.75,Native,.3171,0,101-200 books,18,1.706,146.443,616.1073,615.25812,582.13123,1,1,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,1.5611,0,201-500 books,15,.9255,94.26875,480.69321,486.08578,486.7067,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,2.5915,0,11-25 books,10,-1.0923,94.26875,458.51239,436.67361,489.39911,0,0,0,0,1,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,.6642,0,11-25 books,15,.0069,94.26875,542.55487,528.77539,519.37219,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.08,Native,-.3612,0,26-100 books,13,-.4542,94.26875,480.19531,457.67459,509.8255,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.6642,0,More than 500 books,18,1.1186,94.26875,526.7724,502.67059,515.83789,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.92,Native,.5531,0,201-500 books,18,1.2374,94.26875,494.92581,487.03159,559.34351,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,-1.6141,0,201-500 books,13,-.1182,94.26875,517.3064,498.89981,478.51199,0,0,0,0,0,0
Female,Almost every day,Never or hardly ever,16.25,Native,1.5043,0,26-100 books,10,-.1004,94.26875,524.93701,542.21289,567.92529,0,0,0,0,0,0
Female,Almost every day,Never or hardly ever,15.92,Native,-1.4084,0,101-200 books,18,.917,94.26875,364.12521,393.16422,408.2005,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,16.25,Native,-.9663,0,26-100 books,15,.326,94.26875,503.3645,505.17419,471.1774,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,-.0523,0,101-200 books,15,.1293,94.26875,609.0415,635.79858,656.45978,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-.0621,0,11-25 books,13,-.28,94.26875,586.31927,582.09387,601.46509,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,-.6155,0,201-500 books,18,1.6318,94.26875,502.2836,544.26068,551.60217,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,.9646,0,201-500 books,15,.3981,94.26875,618.80823,673.64142,645.10712,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.9646,0,26-100 books,13,-.1409,94.26875,480.06949,429.50879,447.97989,0,0,0,0,1,1
Male,Never or hardly ever,Never or hardly ever,16.08,Native,.6642,0,26-100 books,13,.1518,133.946,516.67151,527.94598,491.48639,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,15.92,Second-Generation,.9357,0,26-100 books,13,.4641,133.946,531.74463,531.38898,506.17941,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Second-Generation,.9357,1,201-500 books,18,1.1175,95.19745,315.2326,318.23279,366.95929,0,0,0,1,1,1
Male,Never or hardly ever,Never or hardly ever,15.42,Native,1.398,0,26-100 books,10,-.5876,96.39624000000001,495.11969,513.80737,467.94479,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.5,Native,1.5611,0,101-200 books,13,.2142,95.19745,505.50009,548.00128,499.88501,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.58,Native,2.5915,0,201-500 books,18,1.5699,96.39624000000001,398.58759,459.40829,479.00241,0,0,0,1,0,0
Male,Once or twice a month,Once or twice a week,15.83,Native,1.0269,0,26-100 books,13,.4176,96.39624000000001,509.23929,508.07071,469.50439,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.92,Native,.6642,1,More than 500 books,18,1.4401,96.39624000000001,525.17358,579.54999,557.00439,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,.4638,0,11-25 books,10,-.5337,89.30546,440.3688,513.4635,537.04559,0,0,0,1,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.9357,0,More than 500 books,18,2.3287,89.30546,511.6239,534.79791,539.9549,0,0,0,0,0,0
Male,Almost every day,Once or twice a week,16.33,Native,-1.7993,0,201-500 books,15,.8135,92.87165,550.37799,570.43762,536.89319,0,0,0,0,0,0
Male,Almost every day,Never or hardly ever,16.25,Native,.2947,0,201-500 books,13,.2202,92.87165,513.7168,552.96582,555.95062,0,0,0,0,0,0
Male,Once or twice a week,Never or hardly ever,16.25,Native,2.5915,0,201-500 books,18,1.5272,92.87165,565.86859,581.88928,591.09967,0,0,0,0,0,0
Male,Once or twice a month,Almost every day,16.25,Native,.0575,1,26-100 books,18,.1999,92.87165,504.19629,522.86261,483.19409,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a week,16.33,Native,2.5915,0,26-100 books,18,.4776,92.87165,538.69611,543.45129,541.78833,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.08,Native,.6642,0,26-100 books,18,.4952,92.87165,591.75189,628.60498,607.92273,0,1,1,0,0,0
Male,Once or twice a month,Once or twice a week,15.92,Native,-.2889,0,More than 500 books,18,1.5719,92.87165,542.45679,594.24719,575.03711,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,15.83,Native,.6642,1,101-200 books,10,-1.5803,95.19745,517.17358,563.3866,601.117,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,-.9024,0,201-500 books,18,1.4129,95.19745,527.51941,562.64893,591.95142,0,0,0,0,0,0
Male,Once or twice a week,Never or hardly ever,15.75,Native,1.5043,0,26-100 books,18,1.332,96.39624000000001,561.34943,599.56659,559.7359,0,0,0,0,0,0
Male,Every day,Every day,15.58,Native,-.6488,0,101-200 books,10,-.7932,96.39624000000001,459.142,462.34,454.0928,0,0,0,0,0,0
Male,Almost every day,Almost every day,16,Native,.9357,1,11-25 books,18,.5844,96.39624000000001,525.60901,552.297,564.70459,0,0,0,0,0,0
Male,Once or twice a week,Almost every day,15.83,Native,.6642,0,26-100 books,10,-1.0134,96.39624000000001,441.44629,457.02661,403.7215,0,0,0,1,0,1
Female,Once or twice a month,Never or hardly ever,15.5,Native,-1.0536,0,101-200 books,18,1.267,139.7109,578.21918,609.46191,583.7793,0,1,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.58,Native,.412,0,11-25 books,18,1.0334,125.9353,612.65509,620.9552,617.20837,1,1,1,0,0,0
Male,Every day,Every day,15.67,Second-Generation,1.5611,0,0-10 books,15,-.4393,125.9353,521.4726,539.6626,545.29523,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.42,Native,.4638,0,26-100 books,10,-1.2797,125.9353,434.44641,415.54889,463.65771,0,0,0,1,1,0
Male,Every day,Every day,15.42,Native,.6642,0,More than 500 books,15,-.5605,125.9353,616.30811,663.39032,619.34363,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.58,Native,-.3381,0,201-500 books,18,1.5396,132.2676,638.47681,672.75519,661.46722,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,-.3381,0,101-200 books,18,1.1198,132.2676,496.26279,573.90338,622.28601,0,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.75,Second-Generation,.2947,0,201-500 books,15,.5141,132.2676,535.88202,547.63147,570.46991,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,.1052,0,101-200 books,15,.5541,132.2676,607.19861,662.4397,709.00153,1,1,1,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,.6642,0,0-10 books,15,-.1319,132.2676,466.28479,457.59259,517.21552,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.25,Native,.2947,0,26-100 books,13,-.038,132.2676,565.4118,583.039,574.67151,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,16.17,Native,2.5915,0,More than 500 books,18,1.5472,125.9353,565.0968,541.4696,597.99237,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.83,Second-Generation,.2947,0,26-100 books,15,-.5699,125.9353,538.28473,573.7807,603.73657,0,0,1,0,0,0
Male,Once or twice a week,Once or twice a week,15.75,Native,1.5611,0,201-500 books,10,.0097,125.9353,554.90942,543.98621,592.62781,0,0,0,0,0,0
Male,Never or hardly ever,Almost every day,15.92,Native,.514,0,101-200 books,18,1.1,125.9353,578.04669,608.29669,625.3761,0,1,1,0,0,0
Male,Every day,Every day,15.67,Native,2.5915,0,11-25 books,13,.3912,125.9353,567.08362,608.16449,615.73358,0,1,1,0,0,0
Male,Every day,Every day,15.75,Native,.4638,0,26-100 books,18,1.0199,125.9353,526.47021,537.07562,555.021,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.9357,0,26-100 books,13,-.3322,132.2676,546.78149,571.45978,668.63739,0,0,1,0,0,0
Female,Once or twice a week,Every day,15.83,Native,.4638,0,201-500 books,18,.8034,139.7109,559.24921,611.9054,641.4444,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.08,Native,2.5915,0,101-200 books,18,1.1626,139.7109,619.44452,662.70819,653.78979,1,1,1,0,0,0
Male,Never or hardly ever,Almost every day,15.33,Second-Generation,.3311,0,201-500 books,18,1.4041,125.9353,630.57123,590.55682,656.52582,1,0,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.42,Native,1.0269,0,More than 500 books,13,.6357,105.1857,389.49341,457.48941,480.96729,0,0,0,1,0,0
Male,Almost every day,Once or twice a month,15.5,Native,.2067,0,201-500 books,18,1.3577,105.1857,601.42621,732.7326,678.42731,1,1,1,0,0,0
Male,Once or twice a week,Never or hardly ever,15.58,Native,.1985,0,More than 500 books,18,1.2395,105.1857,615.76538,640.72028,647.64117,1,1,1,0,0,0
Male,Every day,Once or twice a month,15.5,Native,1.398,0,More than 500 books,18,1.7289,105.1857,616.5354,645.51367,586.31403,1,1,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Native,1.5043,0,More than 500 books,18,1.4192,105.1857,609.1272,637.1972,619.92853,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,-.4089,0,More than 500 books,18,2.0668,105.1857,696.5271,720.66919,682.16919,1,1,1,0,0,0
Female,Never or hardly ever,Once or twice a month,15.75,Native,.3171,0,More than 500 books,18,2.4007,105.1857,497.56421,518.1001,562.34351,0,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.92,Native,.4638,0,201-500 books,15,.734,105.1857,551.90948,600.71442,631.04633,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,.5531,0,More than 500 books,18,1.8014,105.1857,597.53162,611.3775,620.30573,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.92,Native,.2526,0,More than 500 books,18,1.7272,105.1857,627.79077,686.61462,650.94501,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.92,Native,-.082,0,201-500 books,18,1.3862,110.1059,577.46289,641.59869,600.17151,0,1,1,0,0,0
Male,Once or twice a month,Almost every day,15.92,Native,.75,0,201-500 books,18,2.2673,110.1059,595.89478,618.8349,571.6131,0,1,0,0,0,0
Male,Never or hardly ever,Once or twice a week,16,Native,.4451,0,201-500 books,18,1.2189,110.1059,595.88989,629.8454,629.92517,0,1,1,0,0,0
Male,Never or hardly ever,Once or twice a month,16,Native,.0248,0,201-500 books,10,-.2095,110.1059,614.09052,639.64252,642.68872,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,16.25,Second-Generation,.1282,0,11-25 books,15,-.4831,105.1857,477.49051,520.24561,516.31262,0,0,0,0,0,0
Male,Never or hardly ever,Never or hardly ever,15.75,Native,1.398,0,101-200 books,18,1.4691,110.1059,606.26837,654.03088,620.82397,1,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.5,Native,-.1862,0,More than 500 books,13,-.0938,105.1857,544.87579,556.77832,540.88098,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-.9388,0,26-100 books,10,-1.3504,107.348,474.05179,471.8049,451.48911,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.83,Native,.3648,0,26-100 books,18,.106,107.348,303.4429,275.07101,291.4422,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.67,Native,-1.4862,0,101-200 books,10,-1.0945,107.348,488.0116,537.75873,560.79968,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,15.67,Second-Generation,.3171,0,0-10 books,10,-1.3887,107.348,486.5466,472.50449,448.21631,0,0,0,0,0,1
Male,Once or twice a month,Never or hardly ever,15.42,Native,2.5915,0,101-200 books,15,-.0265,107.348,460.69809,439.86292,423.10172,0,0,0,0,1,1
Male,Never or hardly ever,Never or hardly ever,15.42,Second-Generation,.0218,0,0-10 books,13,-.9114,107.348,406.06,336.41119,341.64651,0,0,0,1,1,1
Male,Never or hardly ever,Never or hardly ever,15.42,Native,-1.4235,0,0-10 books,10,-1.2586,107.348,457.24731,440.73651,383.68121,0,0,0,0,1,1
Female,Once or twice a week,Once or twice a week,16,Native,-1.4462,1,26-100 books,13,-.4368,88.54268999999999,460.2421,428.1441,442.97409,0,0,0,0,1,1
Male,Almost every day,Almost every day,15.83,Second-Generation,-.378,1,0-10 books,18,.8123,88.54268999999999,357.57089,343.87009,332.4071,0,0,0,1,1,1
Male,Once or twice a month,Once or twice a week,15.75,Second-Generation,.6642,1,11-25 books,3,-2.3808,88.54268999999999,453.17471,426.60129,420.0271,0,0,0,0,1,1
Female,Never or hardly ever,Never or hardly ever,16.08,Native,-.8058,1,11-25 books,18,-.5234,88.54268999999999,371.73779,331.1777,352.87161,0,0,0,1,1,1
Female,Never or hardly ever,Never or hardly ever,15.5,Native,1.398,0,101-200 books,18,.0902,88.54268999999999,442.5683,450.01471,461.733,0,0,0,1,0,0
Female,Almost every day,Every day,15.5,Native,-1.2097,0,26-100 books,10,-.5325,88.54268999999999,559.39563,554.4787,549.85358,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.25,First-Generation,.485,0,26-100 books,15,-.3386,88.54268999999999,447.54129,461.1861,513.03583,0,0,0,1,0,0
Male,Every day,Every day,15.92,Native,-.7429,1,26-100 books,18,1.3145,88.54268999999999,474.0188,436.88739,405.31119,0,0,0,0,1,1
Female,Once or twice a month,Once or twice a month,15.92,Second-Generation,.6642,0,26-100 books,13,.2659,97.92468,462.16071,443.5762,484.52271,0,0,0,0,1,0
Female,Once or twice a week,Never or hardly ever,16.25,Native,.412,0,101-200 books,18,1.1746,97.92468,494.30341,502.59351,493.45471,0,0,0,0,0,0
Male,Once or twice a month,Once or twice a week,15.92,Native,.4438,0,26-100 books,18,1.0352,88.54268999999999,531.88953,497.41589,483.15601,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a month,15.92,Native,.9357,0,26-100 books,18,.5505,88.54268999999999,509.42639,525.6405,511.2915,0,0,0,0,0,0
Male,Almost every day,Almost every day,16.33,Second-Generation,2.5915,0,26-100 books,13,-.3918,88.54268999999999,527.28131,509.46179,522.78833,0,0,0,0,0,0
Male,Once or twice a week,Once or twice a week,16,Second-Generation,.8154,0,26-100 books,18,.4054,88.54268999999999,436.73569,401.34271,436.4989,0,0,0,1,1,1
Male,Never or hardly ever,Almost every day,16.25,Second-Generation,.9357,0,11-25 books,18,-.3473,88.54268999999999,532.23822,443.45999,475.43869,0,0,0,0,1,0
Female,Once or twice a month,Once or twice a month,15.42,Native,-.5435,0,101-200 books,18,.2347,88.54268999999999,399.44711,372.78931,400.45459,0,0,0,1,1,1
Female,Almost every day,Never or hardly ever,15.5,Native,.0126,0,26-100 books,13,-1.001,88.54268999999999,437.48599,410.0032,391.18179,0,0,0,1,1,1
Male,Once or twice a month,Almost every day,15.67,Second-Generation,2.2154,0,11-25 books,10,-.4533,88.54268999999999,407.6449,351.09781,374.24301,0,0,0,1,1,1
Male,Almost every day,Almost every day,15.67,Second-Generation,.6642,0,26-100 books,18,1.1195,88.54268999999999,405.4437,408.48041,483.99741,0,0,0,1,1,0
Female,Once or twice a month,Never or hardly ever,15.5,Native,1.398,0,26-100 books,18,1.0474,104.7439,616.91278,582.44537,577.43829,1,0,0,0,0,0
Female,Once or twice a week,Never or hardly ever,15.5,Native,.4801,0,201-500 books,15,.3873,104.7439,578.62939,615.7876,621.73547,0,1,1,0,0,0
Female,Never or hardly ever,Never or hardly ever,15.33,Native,.0901,0,201-500 books,18,1.6751,104.7439,519.00079,543.6709,584.67761,0,0,0,0,0,0
Male,Almost every day,Almost every day,15.75,Native,-.8219,0,101-200 books,18,1.3106,104.3414,685.35797,654.20569,631.01837,1,1,1,0,0,0
Male,Once or twice a week,Almost every day,15.42,Native,1.0269,0,101-200 books,18,1.4273,104.3414,607.24591,604.59418,600.5946,1,1,1,0,0,0
Female,Once or twice a week,Once or twice a week,15.83,Native,-.3824,0,101-200 books,13,-.5941,100.1722,632.43408,633.6665,612.85773,1,1,1,0,0,0
Female,Once or twice a month,Once or twice a week,15.92,Native,1.398,0,26-100 books,18,1.2252,100.1722,565.83313,548.28552,563.24591,0,0,0,0,0,0
Female,Once or twice a month,Never or hardly ever,16.17,Native,.6642,0,201-500 books,13,.1078,100.1722,570.74902,554.5564,558.80701,0,0,0,0,0,0
Female,Never or hardly ever,Never or hardly ever,16,Native,-.8913,0,11-25 books,18,.5433,100.1722,598.41998,569.01257,568.52179,0,0,0,0,0,0
